,LABEL-1,LABEL-3,LABEL-4,LABEL-5,LABEL-12,review,store,score_new,pos_neg
90,https://lh3.googleusercontent.com/a/AATXAJz32wQCP9s3gGnBrHjTJvN9llRwrvM9NrJC13Ts=w45-h45-p-c0x00000000-rp-mo-br100,이광제,지역 가이드,리뷰 2개,2년 전,그옆에 군산진횟집 짜증이빠이 이돈주고 않먹음 별점도 주기 싫은데 하나라도 찍어야 등록이 됨으로 개,카페드선유,0.018238812685012817,부정
93,https://lh3.googleusercontent.com/a/AATXAJyPuXMqin55pERbD6bh0wAHaZ-4as_xSjaw2yk8=w45-h45-p-c0x00000000-rp-mo-br100,김옥희,지역 가이드,리뷰 438개,2년 전,가고싶지안음,카페드선유,0.27167993783950806,부정
97,https://lh3.googleusercontent.com/a/AATXAJxFnnANHM-GDn8pskralR38z_BqucYupLBjT2DH=w45-h45-p-c0x00000000-rp-mo-ba3-br100,유정식,지역 가이드,・리뷰 31개,2년 전,군산선유도에서,카페드선유,0.3575263023376465,부정
99,https://lh3.googleusercontent.com/a/AATXAJxtEXonVbGSXOcgDgpzPExMPFmNoFFOEgS13Ghf=w45-h45-p-c0x00000000-rp-mo-ba4-br100,권태기,지역 가이드,・리뷰 116개,3년 전,그저~,카페드선유,0.03135362267494202,부정
101,https://lh3.googleusercontent.com/a-/AOh14GiX99mf7qBwR-8h0UgPfMZZProUR9nfgX41V5Pi9Q=w45-h45-p-c0x00000000-rp-mo-br100,최진영,지역 가이드,리뷰 1개,2년 전,횟집 비싸요,카페드선유,0.10460126399993896,부정
102,https://lh3.googleusercontent.com/a-/AOh14GgK45j5IY4GecXfMWAA6dX3FGzEpBIcd6ug1knASQ=w45-h45-p-c0x00000000-rp-mo-ba4-br100,신현욱,지역 가이드,・리뷰 96개,3년 전,별로였어요,카페드선유,0.0020270347595214844,부정
103,https://lh3.googleusercontent.com/a/AATXAJyM65eYU306TqslBaEVy2KDadqx0O5AhvfW1VjT=w45-h45-p-c0x00000000-rp-mo-ba4-br100,조양원,지역 가이드,・리뷰 128개,3년 전,영업안합니다,카페드선유,0.10006090998649597,부정
105,https://lh3.googleusercontent.com/a/AATXAJyDDB5Sck1hnIrcx5ikzfACjIHnBOPC4r98PPc=w45-h45-p-c0x00000000-rp-mo-br100,유기복,지역 가이드,리뷰 1개,3년 전,선유도에서,카페드선유,0.45709675550460815,부정
108,https://lh3.googleusercontent.com/a-/AOh14Gh0qz0V4Sv4cDCyQtZvmC-5THeryZZkzOy6wAtT2g=w45-h45-p-c0x00000000-rp-mo-ba2-br100,심재윤,지역 가이드,・리뷰 22개,2년 전,별로,카페드선유,0.009723514318466187,부정
109,https://lh3.googleusercontent.com/a/AATXAJyBFX_ohMoyjmzVX-fF0oAZml0ZkdbxKylJWJfr=w45-h45-p-c0x00000000-rp-mo-br100,남궁진순,지역 가이드,리뷰 1개,3년 전,선유도,카페드선유,0.37213921546936035,부정
112,https://lh3.googleusercontent.com/a-/AOh14Gh2mP1lFRYVufcsA8XPO1gSBDSduZLK3EUfRVKbAQ=w45-h45-p-c0x00000000-rp-mo-ba5-br100,용감eunjun,지역 가이드,・리뷰 245개,6일 전,"주차장이  골목으로 들어가는 점이불편해요
매장은 넓고 쾌적합니다 커피맛은 보통  수박쥬스는 시원 합니다",할리스 선유도,0.18691277503967285,부정
114,https://lh3.googleusercontent.com/a/AATXAJw8MXAClORcqCtJ7eVyd4ua-NNFs4OYPWB298kS=w45-h45-p-c0x00000000-rp-mo-ba4-br100,한인규,지역 가이드,・리뷰 59개,4일 전,"쿠폰팩 사용 불가네요
할리스 고유의 노래가 다르네요
가요가 나오구ㅎㅎ
메뉴가 한정적이고
할리스 정식매장같네요",할리스 선유도,0.08027389645576477,부정
116,https://lh3.googleusercontent.com/a-/AOh14Gg8FoaCztVJiRVTHpQf0BBmjZUJfUAfpsjJYSzq7Vg=w45-h45-p-c0x00000000-rp-mo-ba2-br100,b b,지역 가이드,・리뷰 25개,2달 전,"•층 뷰 좋음
•고객 응대는 별로",할리스 선유도,0.022513359785079956,부정
117,https://lh3.googleusercontent.com/a/AATXAJyKIgRfp4_gBg3GKYxRnoZAdCdPWzw34C3Uu5G3=w45-h45-p-c0x00000000-rp-mo-ba5-br100,Jungho Lee,지역 가이드,・리뷰 237개,5일 전,차량대무료주차에 두잔을시켜야 함시간분,할리스 선유도,0.24581372737884521,부정
123,https://lh3.googleusercontent.com/a/AATXAJyO7EoqlZGROTaNeWVkEQfLF5hTW3wOxZ8ZYTBL=w45-h45-p-c0x00000000-rp-mo-ba3-br100,Edward Jean,지역 가이드,・리뷰 63개,2달 전,커피맛이 약하고 별로입니다 친절하지도 않고 관광지 특수인지 별로였어요,할리스 선유도,0.0049190521240234375,부정
126,https://lh3.googleusercontent.com/a-/AOh14GiGOn0qjXXN1qBfaZIitQF6f9NZm582USKoocgMUw=w45-h45-p-c0x00000000-rp-mo-ba7-br100,K. S. Lee,지역 가이드,・리뷰 844개,1달 전,다른 할리스랑 비슷해요 근데 이른 시간인데도 안된다고하는 음료들이 많아서 실망,할리스 선유도,0.049656420946121216,부정
133,https://lh3.googleusercontent.com/a-/AOh14GitCa6yV-hZpQY9Dy_DNTW_dJeAhx3Y5cbTU-3NVQ=w45-h45-p-c0x00000000-rp-mo-ba5-br100,린빈빠빠,지역 가이드,・리뷰 540개,1년 전,"선유도해수욕장에 위치
코스가 다소 짧아 아쉬움",할리스 선유도,0.09830817580223083,부정
134,https://lh3.googleusercontent.com/a/AATXAJw90TrdJpI9DUO6LnoUJyikEqKv3aWOrIBa-7Yn=w45-h45-p-c0x00000000-rp-mo-ba4-br100,송창열,지역 가이드,・리뷰 53개,1년 전,"선유도 해수욕장 앞 위치한 할리스 커피숍이다
층 구조로 되어있고 층은 주문 층은 테이블 공간으로 구성되어있다
층엔 야외 테이블 있어 날씨 좋은 날에는 밖에서도 차를 즐길수 있을듯 하다
층에 매장이 넓게 있고 단체석이 잘 되어있다
관광지 커피 숍이라 단체나 커플이 앉게 좋은 구성과 바다가보이는 자리도 있다
노트북을 충전 할 수 있는 시설도 되어 있었다
좋은 점은 뒤에 주차장을 이용할 수 있다는것이다
선유도 리조트 주차자을 같이 사용하는데 차 주문시 시간분 무료 주차권을 받을 수 있다
선유도 해수욕잠 바로 앞이라 관광객이 바다 관람 후 커피숍에 많이 방문하는듯 하다
일요일 시쯤 도착 했는데 이미 많은 사람이 있었다
할리스커피 숍 옆에도 개인 커피숍이 있다",할리스 선유도,0.1555078625679016,부정
137,https://lh3.googleusercontent.com/a/AATXAJzYTSX0yymDog-JWZa2ac7mvJdnftBorkU730Tg=w45-h45-p-c0x00000000-rp-mo-ba3-br100,효니,지역 가이드,・리뷰 19개,1주 전,그저 그런 커피점,할리스 선유도,0.02842843532562256,부정
138,https://lh3.googleusercontent.com/a/AATXAJxj7ACbhHy2pAZtzLpjoyNcQ4ZleTOs5Zb0Bb90=w45-h45-p-c0x00000000-rp-mo-ba3-br100,박희정,지역 가이드,・리뷰 105개,8달 전,"보통의 할리스

별하나를 뺀이유는
매장이 복잡하다보니
메뉴선택이 한정되어있음",할리스 선유도,0.1272921860218048,부정
144,https://lh3.googleusercontent.com/a-/AOh14GjFFBmwhaW-NO0e1jN009VkJuDbhFmG0L9UkZyzbbQ=w45-h45-p-c0x00000000-rp-mo-ba5-br100,JINS,지역 가이드,・리뷰 333개,7달 전,내부에서 해변이 좌석이 별로 없네요,할리스 선유도,0.16315564513206482,부정
157,https://lh3.googleusercontent.com/a/AATXAJzzCpEjjDfutB-H85deZTVS3vjbie2mr38PIwM=w45-h45-p-c0x00000000-rp-mo-ba5-br100,고호진,지역 가이드,・리뷰 504개,2년 전,비용대비 너무 짧은 느낌 경험상  한번씩 타는 것도 좋을 듯^^,할리스 선유도,0.06844156980514526,부정
163,https://lh3.googleusercontent.com/a/AATXAJzgQLUITLxMBhYfthuTVyKyDK4JxxcUt_tqyfJo=w45-h45-p-c0x00000000-rp-mo-ba3-br100,김부선,지역 가이드,・리뷰 86개,1년 전,위치는 좋지만 직원들이 친절하지는 않아요,할리스 선유도,0.2273983359336853,부정
166,https://lh3.googleusercontent.com/a/AATXAJyhSNfjBepRRAdTWVtl37vzxHB6n1LOtdBCO3b8=w45-h45-p-c0x00000000-rp-mo-ba4-br100,한효섭,지역 가이드,・리뷰 88개,1년 전,알바가 터프함,할리스 선유도,0.3363344669342041,부정
167,https://lh3.googleusercontent.com/a/AATXAJymK-UllXLKxvyXwTeFNUmR7Udm-sR5LZg7ax4xlQ=w45-h45-p-c0x00000000-rp-mo-ba4-br100,아요보소,지역 가이드,・리뷰 94개,1년 전,복잡!,할리스 선유도,0.22132062911987305,부정
168,https://lh3.googleusercontent.com/a-/AOh14GgLEo4Yu2kEPFgV_wIpnqTuIV08LAr0f8EanIv9tA=w45-h45-p-c0x00000000-rp-mo-br100,조부현,지역 가이드,리뷰 28개,8달 전,"(Google 번역 제공) 그저 그래

(원문)
So so",할리스 선유도,0.057048290967941284,부정
173,https://lh3.googleusercontent.com/a-/AOh14GikbR5FdwYl4Kf2VskYZOAaB5fvPVe9e5Jan1WjCn4=w45-h45-p-c0x00000000-rp-mo-ba5-br100,Keemzuno,지역 가이드,・리뷰 198개,1달 전,주말에 가시면 공영주차장 차 대놓고 걸어가세요카페까지 꾸역꾸역 차 끌고 가다 대장도까지 계속 가야 될 수도 있습니다 불법주차 차들 때문에 양방으로 가기가 힘들어요,라파르,0.28149861097335815,부정
174,https://lh3.googleusercontent.com/a/AATXAJzoWQgP8o1kJZHeeYbZbviqunx-exsv1-ZpA2Rn=w45-h45-p-c0x00000000-rp-mo-ba3-br100,김정석,지역 가이드,・리뷰 36개,2달 전,"시그니처 메뉴인 한라봉 크림라떼를 시켰다

귤이 중간에 들어가있는 생크림케이크를 하루정도 상온에 보관하면 귤에서 수분이 나와 생크림과 반응하여 비린 맛이 나는데 딱 그맛이었다

과일에서 나온 수분과 수분에 취약한 생크림이 만나 느끼한 맛을 너무 많이 만들어냈다 원래 느끼한 것을 정말 좋아하는 본인이지만 끝까지 마시지 못했다

또한 협소건물이라서 공간이 좁으며 위로 층수가 많은 건물이기 때문에 홀에 오래 앉아있는 것은 민폐가 될 수 있다",라파르,0.25686073303222656,부정
188,https://lh3.googleusercontent.com/a/AATXAJwirpDTYGJJLj5XdyJwBzeVYaXXnq0yAvM5mxT9=w45-h45-p-c0x00000000-rp-mo-ba3-br100,Gloomy Sunday,지역 가이드,・리뷰 83개,1달 전,기가 막힌 장소에 적절한 건물배치와 야외 테이블 아무것도 없을때 별로 일수도 있을듯한 이 땅을 사고 투자한 땅주인이 감탄스럽다 바다가 보이는 멋진 광경에서 이미 맛은 잊기 시작한다,라파르,0.135771244764328,부정
204,https://lh3.googleusercontent.com/a-/AOh14Gg0WjyF_BpVy_6qYAjkspUt1EYrD63B68RuvxGP=w45-h45-p-c0x00000000-rp-mo-ba5-br100,샬랄라,지역 가이드,・리뷰 308개,4달 전,넘 예쁨,라파르,0.4997234046459198,부정
205,https://lh3.googleusercontent.com/a-/AOh14Gi0Z5SyTrPvUPML-id57VY3L0DCfQs_Qv_gBKot=w45-h45-p-c0x00000000-rp-mo-ba4-br100,Ethan Yang,지역 가이드,・리뷰 85개,5달 전,"협소주택처럼 지어진 카페
극장형태 온돌형태 등등 층마다 컨셉이 있긴하지만 코로나 상황에서 테이블 분리도 안되고 타인과 다닥다닥 붙어서 먹어야해 불편함(인스타감성을 느낄것이 아니라면 차라리 날씨좋으면 테이크아웃해서 주변 산책하면서 마시는게 나을 듯)

카페 바로앞 공터에 주차를 할 수 있긴하나 공터와 도로간 고저차가 심해 차량 바닥이 심하게 긁힐 수 있으니 주의해야함

카페에서도 해당내용에 대해 고지하고 밑에 마트주차장에 차를 대기 권장함",라파르,0.0768355131149292,부정
211,https://lh3.googleusercontent.com/a/AATXAJxm1voI1wLoEED8t2LDDVU-twt2qi47sMlpji6E=w45-h45-p-c0x00000000-rp-mo-ba4-br100,이경희,지역 가이드,・리뷰 111개,2달 전,아름다운곳사람이 너무 많아요,라파르,0.15259119868278503,부정
213,https://lh3.googleusercontent.com/a/AATXAJwIjx7MoU3TLJPXQGsP9qu1D9FgqAAoYGGlaTyA=w45-h45-p-c0x00000000-rp-mo-ba3-br100,김영길,지역 가이드,・리뷰 39개,9달 전,"커피 맛 없고  실내 좁음 
차라리 cu 에서 커피 사서 근처에 차 속에서 바다보면서 마시는게 훨 좋음
화장실도 개 줄서고 남여 공용이라 민망함
가고싶지 않음",라파르,0.052029311656951904,부정
214,https://lh3.googleusercontent.com/a/AATXAJxwT5dyMQVUt9XZY2YRS5UOZXUw4CAMaw2waK5R=w45-h45-p-c0x00000000-rp-mo-br100,박은정,지역 가이드,리뷰 6개,9달 전,절대가지마세요커피맛제로 허브티없고 화장실개로 남녀같이쓰고 화장실줄선곳에 옆에서 커피먹고 굉장히 비좁음차라리 밖에서 전망보는 걸로 만족해야할곳,라파르,0.005344748497009277,부정
215,https://lh3.googleusercontent.com/a-/AOh14GibtPsEc4EBC25SZP2C_bQib7y1LmLMYNBsgZAD=w45-h45-p-c0x00000000-rp-mo-ba6-br100,wall E,지역 가이드,・리뷰 450개,4달 전,"건물의 구조적인 컨셉은 이해가 되는데
너무 좁은 게 치명적입니다
앉아있는 다른 사람들 옆을 지나서…",라파르,0.016056865453720093,부정
216,https://lh3.googleusercontent.com/a-/AOh14GgCDTD2etYm8r79wrWW9P58xC6McAdMW4PbFnWb=w45-h45-p-c0x00000000-rp-mo-ba3-br100,전수훈,지역 가이드,・리뷰 39개,3달 전,"어른모시고 가기엔 불편합니다
뷰는 좋아요!
화장실 불편 하니 참고요",라파르,0.08902376890182495,부정
217,https://lh3.googleusercontent.com/a-/AOh14GhYLFJPjsztsSEzZ2VKOb3gXPWWwFtH89U6-_HMIQ=w45-h45-p-c0x00000000-rp-mo-ba6-br100,Bonung Gu,지역 가이드,・리뷰 381개,6일 전,커피맛만 기억남,라파르,0.2311236560344696,부정
225,https://lh3.googleusercontent.com/a-/AOh14GgM8wl0Uztw4s1vCpsTfVY6kAx79b-w5ZrIIs_1=w45-h45-p-c0x00000000-rp-mo-br100,이런!,지역 가이드,리뷰 1개,1주 전,맛없고 비쌈 최악 사먹지마세요,라파르,0.0018779337406158447,부정
227,https://lh3.googleusercontent.com/a-/AOh14GjyobeXJh6rt5K-qLTdKJHN-tkuFVINrHLUSkFIAQ=w45-h45-p-c0x00000000-rp-mo-ba3-br100,유레카대원,지역 가이드,・리뷰 24개,4달 전,뷰는좋은데 아메는  쏘쏘,라파르,0.33656811714172363,부정
228,https://lh3.googleusercontent.com/a/AATXAJwGNL33ZoeDtHkRkjJyxzYhX50Ci4ZJZ5Y6CyvE=w45-h45-p-c0x00000000-rp-mo-ba2-br100,김준영,지역 가이드,・리뷰 26개,3주 전,"여름에는 너무덥고 좁고 밖에의자도 불편했음
비추천",라파르,0.014004319906234741,부정
229,https://lh3.googleusercontent.com/a-/AOh14GgFD1zs2Be2-Ngaez8uzdJbUzk9f3mWWVp7EwRMcbE=w45-h45-p-c0x00000000-rp-mo-ba5-br100,H,지역 가이드,・리뷰 208개,9달 전,야외자리가 이쁜데 실내는 좌석도 적고 너무 좁아요건물이 좁게 되어있음 ㅠㅠ 이 근방이 카페가 없어서 여기가 사람이 진짜 많더라구요 그래서 자리 못 잡고 나왔네요,라파르,0.01533004641532898,부정
234,https://lh3.googleusercontent.com/a/AATXAJzFGZMYf2ov4rRfaQAsyhuzjWK7liotSPwAOks_=w45-h45-p-c0x00000000-rp-mo-br100,이경원,지역 가이드,리뷰 107개,3달 전,자리값이죠 뭐,라파르,0.04008248448371887,부정
235,https://lh3.googleusercontent.com/a-/AOh14GhQh9s0Yvf_1qmKI0zHSfXU98-SAB5wFC7FTsxuWA=w45-h45-p-c0x00000000-rp-mo-ba5-br100,양영숙,지역 가이드,・리뷰 58개,10달 전,운영자 또는 종업원의 불친절과 사용자들의 밀집도가 높음,라파르,0.13455474376678467,부정
241,https://lh3.googleusercontent.com/a/AATXAJwAcoc0SzFDw5Ny-QhT6g8BwJJsyzZOYs3nEt1A=w45-h45-p-c0x00000000-rp-mo-ba5-br100,kiyoung son,지역 가이드,・리뷰 422개,7달 전,정리되지 않은 주변 찾아갈 이유 못찿음,라파르,0.10042542219161987,부정
243,https://lh3.googleusercontent.com/a-/AOh14GhHvbfC-yLvevwiEzrzbapFKCXvecR44HU1Y5MgDg=w45-h45-p-c0x00000000-rp-mo-br100,김주원,지역 가이드,리뷰 8개,8달 전,"사진빨
가격대 후덜덜",라파르,0.4053824841976166,부정
244,https://lh3.googleusercontent.com/a-/AOh14Gi_nAWqhr-a3g3Nd00LCnDoMiAMkak_XQtu_XAA=w45-h45-p-c0x00000000-rp-mo-br100,간간히지리네,지역 가이드,리뷰 6개,9달 전,주차공간 협소 커피가 너무 맛이 없다,라파르,0.08563113212585449,부정
246,https://lh3.googleusercontent.com/a/AATXAJxevVtH9hNL3hObez8PQlV1qCESgEnD-qcJPfb7=w45-h45-p-c0x00000000-rp-mo-ba3-br100,유희성,지역 가이드,・리뷰 45개,5달 전,뷰가다했다,라파르,0.3981597125530243,부정
251,https://lh3.googleusercontent.com/a/AATXAJztJ7aM1eHpQVM3rrMFFz2obg9AzEtkF7eCmZ06=w45-h45-p-c0x00000000-rp-mo-br100,Hjong Kim,지역 가이드,리뷰 8개,10달 전,차갖고오지마세요,라파르,0.01701653003692627,부정
252,https://lh3.googleusercontent.com/a/AATXAJzVH4aJJO2rJqR6xkFI-lmKl7m5ofsnP1gsoYSc=w45-h45-p-c0x00000000-rp-mo-br100,켄신,지역 가이드,리뷰 2개,6달 전,편의점인줄,라파르,0.24351972341537476,부정
259,,SEUNGJUN LEE,지역 가이드,리뷰 687개,10달 전,이름은 전망 좋은 카페인데위치도 좀 애매하고 창틀이나 먼지 때문에 전망은 더더욱 않좋고커피 맛은 그럭저럭해서 별 두개입니다^^,전망좋은카페,0.43697765469551086,부정
273,https://lh3.googleusercontent.com/a/AATXAJyLalzBsI0P4WcOqd3j83dAJqw0tmQukf9yBPFg=w45-h45-p-c0x00000000-rp-mo-ba4-br100,일상,지역 가이드,・리뷰 192개,2년 전,멍멍이 있음,버스카페,0.4031221270561218,부정
277,https://lh3.googleusercontent.com/a/AATXAJwVhoiJ-AKojIhJ-1XA_HKYITIVIshsNfh-MzxB=w45-h45-p-c0x00000000-rp-mo-ba4-br100,김혜성,지역 가이드,・리뷰 58개,2년 전,아름다워요~~,버스카페,0.3899586796760559,부정
283,https://lh3.googleusercontent.com/a/AATXAJzRCixle2kW2cuCJAMbc3TGH6FD8xMLgg-Y94uJ=w45-h45-p-c0x00000000-rp-mo-ba3-br100,조성광 (닥터k),지역 가이드,・리뷰 54개,1년 전,최악이네요버거 및 모든 메뉴가 가격대비 넘 아깝네요,버스카페,0.000789642333984375,부정
284,https://lh3.googleusercontent.com/a-/AOh14Gjlewh9vJ9TUot5ROl68l9gVvEbx6-VoVtCEfReaA=w45-h45-p-c0x00000000-rp-mo-ba4-br100,정봉진,지역 가이드,・리뷰 218개,1년 전,너무 비싼 햄버거(천원) 똥 좀 치워라,버스카페,0.013044267892837524,부정
292,https://lh3.googleusercontent.com/a/AATXAJzZT7IBG9kIAra3O4fiRT2ZDBfJvS3i5X5KzQg_=w45-h45-p-c0x00000000-rp-mo-br100,24년월 3천댁,지역 가이드,리뷰 7개,4달 전,사장님이 소품 신경을 많이 쓴곳,무녀2구마을버스,0.3421882390975952,부정
